"","season","name","age","gender","hometown","country","status","reason_they_tapped_out","winner","days_lasted","evacuated","location","destination_country"
"1",1,"Alan Kay",40,"Male","Blairsville, Georgia","United States","Winner - 56 days","Victor",TRUE,56,FALSE,"Vancouver Island","Canada"
"2",1,"Sam Larson",22,"Male","Lincoln, Nebraska","United States","55 days","Lost the mind game",FALSE,55,FALSE,"Vancouver Island","Canada"
"3",1,"Mitch Mitchell",34,"Male","Bellingham, Massachusetts","United States","43 days","Realized he should actually be around for his mother's cancer",FALSE,43,FALSE,"Vancouver Island","Canada"
"4",1,"Lucas Miller",32,"Male","Quasqueton, Iowa","United States","39 days","Felt content with what he had done",FALSE,39,FALSE,"Vancouver Island","Canada"
"5",1,"Dustin Feher",37,"Male","Pittsburgh, Pennsylvania","United States","8 days","Fear of storm",FALSE,8,FALSE,"Vancouver Island","Canada"
"6",1,"Brant McGee",44,"Male","Albemarle, North Carolina","United States","6 days","Consuming salt water",FALSE,6,FALSE,"Vancouver Island","Canada"
"7",1,"Wayne Russell",46,"Male","Saint John, New Brunswick","Canada","4 days","Fear of bears",FALSE,4,FALSE,"Vancouver Island","Canada"
"8",1,"Joe Robinet",24,"Male","Windsor, Ontario","Canada","4 days","Loss of ferro rod",FALSE,4,FALSE,"Vancouver Island","Canada"
"9",1,"Chris Weatherman",41,"Male","Umatilla, Florida","United States","36 Hours","Fear of wolves",FALSE,1.5,FALSE,"Vancouver Island","Canada"
"10",1,"Josh Chavez",31,"Male","Jackson, Ohio","United States","12 hours","Fear of bears",FALSE,0.5,FALSE,"Vancouver Island","Canada"
"11",2,"David McIntyre",50,"Male","Kentwood, Michigan","United States","Winner - 66 days","Victor",TRUE,66,FALSE,"Vancouver Island","Canada"
"12",2,"Larry Roberts",44,"Male","Rush City, Minnesota","United States","64 days","Hunger and mental breakdown",FALSE,64,FALSE,"Vancouver Island","Canada"
"13",2,"Jose Martinez Amoedo",45,"Male","Santa Pola, Valencia","Spain/Canada","59 days","Fell off kayak into river",FALSE,59,FALSE,"Vancouver Island","Canada"
"14",2,"Nicole Apelian",45,"Female","Portland, Oregon","United States","57 days","Missed her kids",FALSE,57,FALSE,"Vancouver Island","Canada"
"15",2,"Justin Vititoe",35,"Male","Augusta, Georgia","United States","35 days","Had nothing left to accomplish",FALSE,35,FALSE,"Vancouver Island","Canada"
"16",2,"Randy Champagne",28,"Male","Boulder, Utah","United States","21 days","Didn't like being alone",FALSE,21,FALSE,"Vancouver Island","Canada"
"17",2,"Mike Lowe",55,"Male","Lewis, Colorado","United States","21 days","Missed his wife",FALSE,21,FALSE,"Vancouver Island","Canada"
"18",2,"Tracy Wilson",44,"Female","Aiken, South Carolina","United States","8 days","Triggered by her own aggressive nature during a bear scare",FALSE,8,FALSE,"Vancouver Island","Canada"
"19",2,"Mary Kate Green",36,"Female","Homer, Alaska","United States","7 days (medically evacuated)","Split tendon with axe",FALSE,7,TRUE,"Vancouver Island","Canada"
"20",2,"Desmond White",37,"Male","Coolidge, Arizona","United States","6 hours","Bear scare",FALSE,0.2,FALSE,"Vancouver Island","Canada"
"21",3,"Zachary Fowler",36,"Male","Appleton, Maine","United States","Winner - 87 days","Victor",TRUE,87,FALSE,"Patagonia","Argentina"
"22",3,"Carleigh Fairchild",28,"Female","Edna Bay, Alaska","United States","86 days (medically evacuated)","BMI too low",FALSE,86,TRUE,"Patagonia","Argentina"
"23",3,"Megan Hanacek",41,"Female","Port McNeill, British Columbia","Canada","78 days","2 broken teeth (molars), jaw pain",FALSE,78,FALSE,"Patagonia","Argentina"
"24",3,"Dave Nessia",49,"Male","Salt Lake City, Utah","United States","73 days (medically evacuated)","Systolic pressure too low",FALSE,73,TRUE,"Patagonia","Argentina"
"25",3,"Callie North",27,"Female","Lopez Island, Washington","United States","72 days","Felt like journey was complete",FALSE,72,FALSE,"Patagonia","Argentina"
"26",3,"Greg Ovens",53,"Male","Canal Flats, British Columbia","Canada","51 days","Hypothermia",FALSE,51,FALSE,"Patagonia","Argentina"
"27",3,"Dan Wowak",34,"Male","Mahanoy City, Pennsylvania","United States","51 days","Missed family",FALSE,51,FALSE,"Patagonia","Argentina"
"28",3,"Britt Ahart",40,"Male","Mantua, Ohio","United States","35 days","Missed family",FALSE,35,FALSE,"Patagonia","Argentina"
"29",3,"Zachary Gault",22,"Male","Caledon, Ontario","Canada","8 days (medically evacuated)","Cut arm with ax",FALSE,8,TRUE,"Patagonia","Argentina"
"30",3,"Jim Shields",37,"Male","Langhorne, Pennsylvania","United States","2 days","Regretted leaving family",FALSE,2,FALSE,"Patagonia","Argentina"
"31",4,"Jim Baird",35,"Male","Toronto, Ontario","Canada","Winners - 75 days","Victor",TRUE,75,FALSE,"Vancouver Island","Canada"
"32",4,"Ted Baird",32,"Male","Toronto, Ontario","Canada","Winners - 75 days","Victor",TRUE,75,FALSE,"Vancouver Island","Canada"
"33",4,"Pete Brockdorff",61,"Male","Poolesville, Maryland","United States","74 days","Jointly decided the cost of the game wasn't worth it",FALSE,74,FALSE,"Vancouver Island","Canada"
"34",4,"Sam Brockdorff",26,"Male","Poolesville, Maryland","United States","74 days","Jointly decided the cost of the game wasn't worth it",FALSE,74,FALSE,"Vancouver Island","Canada"
"35",4,"Brooke Whipple",45,"Female","Fox, Alaska","United States","49 days","Felt too exhausted and drained to go on",FALSE,49,FALSE,"Vancouver Island","Canada"
"36",4,"Dave Whipple",40,"Male","Fox, Alaska","United States","49 days","Felt too exhausted and drained to go on",FALSE,49,FALSE,"Vancouver Island","Canada"
"37",4,"Chris Wilkes",44,"Male","Hattiesburg, Mississippi","United States","14 days","Missed family and felt guilty for having left them behind",FALSE,14,FALSE,"Vancouver Island","Canada"
"38",4,"Brody Wilkes",33,"Male","Kentwood, Louisiana","United States","14 days","Missed family and felt guilty for having left them behind",FALSE,14,FALSE,"Vancouver Island","Canada"
"39",4,"Shannon Bosdell",44,"Male","Wrangell, Alaska","United States","5 days (medically evacuated)","Shannon obtained a lower back injury",FALSE,5,TRUE,"Vancouver Island","Canada"
"40",4,"Jesse Bosdell",31,"Male","Skowhegan, Maine","United States","5 days (medically evacuated)","Shannon obtained a lower back injury",FALSE,5,TRUE,"Vancouver Island","Canada"
"41",4,"Alex Ribar",48,"Male","Montville, Maine","United States","2 days","Were not mentally prepared",FALSE,2,FALSE,"Vancouver Island","Canada"
"42",4,"Logan Ribar",19,"Male","Liberty, Maine","United States","2 days","Were not mentally prepared",FALSE,2,FALSE,"Vancouver Island","Canada"
"43",4,"Brad Richardson",23,"Male","Fox Lake, Illinois","United States","1 day (medically evacuated)","Josh injured his ankle",FALSE,1,TRUE,"Vancouver Island","Canada"
"44",4,"Josh Richardson",19,"Male","Fox Lake, Illinois","United States","1 day (medically evacuated)","Josh injured his ankle",FALSE,1,TRUE,"Vancouver Island","Canada"
"45",5,"Sam Larson",24,"Male","Lincoln, Nebraska","United States","Winner - 60 days","Victor",TRUE,60,FALSE,"Khonin Nuga","Mongolia"
"46",5,"Britt Ahart",41,"Male","Mantua, Ohio","United States","56 days","Missed his family",FALSE,56,FALSE,"Khonin Nuga","Mongolia"
"47",5,"Larry Roberts",46,"Male","Rush City, Minnesota","United States","41 days","Missed his family",FALSE,41,FALSE,"Khonin Nuga","Mongolia"
"48",5,"Dave Nessia",50,"Male","Salt Lake City, Utah","United States","36 days","Just felt ""right""",FALSE,36,FALSE,"Khonin Nuga","Mongolia"
"49",5,"Randy Champagne",31,"Male","Boulder, Utah","United States","35 days","Lonely",FALSE,35,FALSE,"Khonin Nuga","Mongolia"
"50",5,"Brooke Whipple",45,"Female","Fox, Alaska","United States","28 days","Lonely",FALSE,28,FALSE,"Khonin Nuga","Mongolia"
"51",5,"Jesse Bosdell",32,"Male","Skowhegan, Maine","United States","24 days (medically evacuated)","Constipation, possible fecal impaction",FALSE,24,TRUE,"Khonin Nuga","Mongolia"
"52",5,"Nicole Apelian",47,"Female","Raymond, Washington","United States","9 days (medically evacuated)","MS attack",FALSE,9,TRUE,"Khonin Nuga","Mongolia"
"53",5,"Brad Richardson",24,"Male","Fox Lake, Illinois","United States","7 days","Had no food the whole time",FALSE,7,FALSE,"Khonin Nuga","Mongolia"
"54",5,"Carleigh Fairchild",30,"Female","Anchorage, Alaska","United States","5 days (medically evacuated)","Fish hook in hand",FALSE,5,TRUE,"Khonin Nuga","Mongolia"
"55",6,"Jordan Jonas",35,"Male","Lynchburg, Virginia","United States","Winner - 77 days","Victor",TRUE,77,FALSE,"Northwest Territories","Canada"
